user_id,username,tweet,mentions,replies_count,retweets_count,likes_count,hashtags,translated
1058474317,monologis_id,pemerintah lampung bantuan mahasiswa derasnya donasi masuk pemerintah provinsi lampung tim gugus tugas covid 19,[],0,3,0,[],the lampung government aid the swift student donation into the lampung provincial government the covid task force team 19
1179769476,its_dul,pemerintah menerapkan herd immunity kemampuan pemerintah nihil pemberantasan covid gambling kuat bertahan hidup lemah mati negara serius menangani virus,['mas__piyuuu'],0,0,0,[],"the government implements herd immunity, the capability of the government is zero, the eradication of covid gambling, strong survival, weak, dead, the state seriously handles the virus"
1.01216E+18,meonkbaong,lakukan makanan berbuka sahur 10 kepala keluarga terdampak covid tasik bantuan pemerintah masuk data ramadan rencanakan paket sembako lengkap semoga rejekinya,['oiivert'],0,0,0,[],do break fasting meals 10 families affected by covid lake government assistance in the data ramadan plan a complete groceries hopefully good luck
1.2043E+18,rakyatdotnews,warga positif corona bupati kondisi menuntut kebersamaan rakyat news bantaeng pemerintah kabupaten bantaeng tim gugus tugas penanganan covid 19 bantaeng merilis rakyatdotnews referensiterkini rakyatnews,[],0,0,0,"['#rakyatdotnews', '#referensiterkini', '#rakyatnews']",positive citizen corona regent conditions demand community cohesion
227620381,annisathalib_,emosi banget kondisi disuruh liputan covid dosen bercanda sih pemerintah menyuruh dirumahaja disuruh liputan rumah,[],0,0,0,['#dirumahaja'],"very emotional, conditions were told to cover covid lecturers were joking the government told the house told to cover the house"
1.12587E+18,prosesnewsid,antisipa penyebaran pandemi covid 19 membutuhkan kerja pemerintah masyarakat pandemi musibah berkatagori non alam prosesnewsid psbb gorontalo,[],0,0,0,"['#prosesnewsid', '#psbb', '#gorontalo']",anticipation of the spread of the pandemic 19 pandemic requires the work of a pandemic community government due to the non-natural category of the process.
1.25739E+18,midhopaulo14,bang pemerintah peduli republik rakyat cina urus abk meninggal 1 cina korban covid 19 ratusan meninggal pemerintah indonesia peduli bang kasihan keluarga bang sedih kali,['haris_azhar'],0,0,1,[],bang the government cares about the people's republic of china take care abk died 1 china victim covid 19 hundreds died indonesian government care bro sorry for family bang sad times
7.21909E+17,kpu_magetan,updates terkini covid 19 kamis 07 05 2020 sumber dinas kesehatan kabupaten magetan info grafis angka keselamatan waspada panik ikuti himbauan pemerintah kpulawancovid19,[],0,0,3,['#kpulawancovid19'],covid latest updates 19 thursday 07 05 2020 source of health services in magetan district info graphic safety figures panic alert follow the government's call kpul interviewovid19
1.22496E+18,bangaceng88,pie menteri keuangan sri mulyani pemerintah provinsi daerah khusus kota jakarta pemerintah pusat menanggung bansos warga daerah khusus kota jakarta terdampak pandemi covid 19 alasannya keterbatasan dana skandalamiespemprovdki,[],0,1,3,['#skandalamiespemprovdki'],pie finance minister sri mulyani provincial government special area of ​​the city of jakarta the central government bansos residents of the special area of ​​the city of jakarta affected by the pvid pandemic 19 the reason is limited funds skandalamiespemprovdki
1.11362E+18,kasehsaulmouk,bilang beruntung ribuan warga mati terdaftar korban covid 19 untung rugi pemerintah menolak bantuan lock down dipilih psbb jokowi beruntung pilih psbb lockdown,['geloraco'],0,2,13,[],say lucky thousands of dead registered covid victims 19 profit and loss the government refused help lock down selected jbow jokowi lucky choose lockdown psbb
1.24926E+18,nadyathara,berbahaya covid 19 pemerintah mengatasinya,[],0,0,0,[],dangerous covid 19 the government overcame it
425703393,ramachw_,ya sepantas nya ciduk bebas sih jrx berpendapat covid konspirasi disebar luaskan pemikiran akal akalan nya pemerintah penyakitnya nyata toxic bego,['shitlicious'],2,3,3,[],yes it's appropriate free jid heck jrx believes covid conspiracy is widely spread the reasoning of his mind the government the disease is real toxic stupid
124839730,trans7,denny galau banget nih disuruh mudik orang tuanya mudik dilarang pemerintah menghentikan penyebaran covid 19 nih sih alpa disugesti tukang sembuhkan kesurupan yuk ikuti keseruannya sahursegerr15 gooddoctorid baikbersama,['gooddoctorid'],0,2,5,"['#sahursegerr15', '#baikbersama']","denny was very upset, he was told to go home, his parents went home, banned, the government stopped the spread of covid 19, how come he was suggested by the craftsmen to heal, let's follow the excitement, sahursegerr15 gooddoctorid, good together"
410572714,zyghozy,salah keluarga menit meninggal gara gara covid 19 pemerintah santai,[],6,0,1,[],wrong family minutes died because of covid 19 government relaxed
507298967,infonyamks,2 nenek tolak bantuan sembako warga miskin pemerintah covid 19 alasan kerja,[],0,0,1,[],2 grandmothers reject food aid for poor citizens of the covid government 19 working reasons
2340155395,suaradotcom,pemerintah jepang setuju remdesivir obati pasien covid 19 darisuara,[],0,0,0,['#darisuara'],the japanese government agrees remdesivir treat covid patients 19 from the voice
7.86549E+17,akuratco,patut dicontoh berupaya menyukseskan program pemerintah memutus mata rantai penyebaran covid 19,[],0,0,1,[],exemplary attempt to succeed in government programs to break the chain of distribution of covid 19
3292531208,asli_wni,pemerintah menyepelekan covid 19 disuruh berdamai dengannya,['jokowi'],0,2,3,[],the government underestimated covid 19 and was told to make peace with him
1.24536E+18,anthonraharusu4,diberlakukannya permenhub 25 2020 jo kepmenhub 59 2020 pemerintah mencabut pp 21 2020 psbb rangka percepatan penanganan covid 19 diberlakukannya peraturan2 berdampak upaya percepatan penurunan angka penyebaran covid 19,['tvonenews'],0,0,0,[],enactment of permenhub 25 2020 jo kepmenhub 59 2020 the government revoked pp 21 2020 psbb in order to accelerate the handling of covid 19 the enactment of regulations2 impacted efforts to accelerate the decline in covid spread 19
117712524,al_fa_07,berdamai covid memerangi covid kesehatan who memilih psbb pemerintah memenuhi kebutuhan dasar masyarakat diterapkan lockdown tau ber retorika,['jokowi'],0,0,0,[],reconcile covid combat covid health who chose the government psbb meet the basic needs of the people applied lockdown or rhetoric
7.03868E+17,nano_daru,turun masyarakat sadar pemerintah belajar taiwan kompak atr pemerintah masyarakat covid 19 ditangani singkat,['dr_koko28'],0,0,0,[],down society aware of government learning taiwan compact atr society covid society 19 dealt briefly
1.23694E+18,pwanea,bhayangkara pembina keamanan ketertiban masyarakat kepolisian sektor wanea wilayah kelurahan pakowa aipda roy nender himbauan kantibmas masyarakat lingkungan v pakowa mematuhi himbauan pemerintah memutuskan matarantai penyebaran virus corona covid 19,[],0,0,0,[],bhayangkara coaches the order security of the police community in the wanea area pakowa aipda roy area nender appeal kantibmas community environment v pakowa obeys the government's call to decide on the distribution of the corona covid virus 19
1.04823E+18,alifdutah,pemerintah orang covid,['tariqinaja'],1,0,0,[],covid people government
1.09624E+18,adisaplex,covid 19 lihat penanganan efektif pemerintah ngadakan tes masal masal sih wkwk,[],0,0,0,[],covid 19 see the effective handling of the government held a mass mass test though
1220986442,dngilawajan,pandemi covid 19 pernahkah terpikir pemerintah kabupaten kepulauan tanimbar kkt bantuan sembako mahasiswa kkt studi daerah ambon mahasiswa aset sumber daya manusia mari peduli himbauan,[],0,0,0,['#himbauan'],covid pandemic 19 has it ever occurred to the district government of the island of tanimbar kkt food assistance students kkt ktk study area ambon students human resource assets let's care about appeals
9.15409E+17,11desember78,bersahabat hidup bahagia manfaat bantu sambat indonesia hebat mari mencegah covid 19 mewabah manut aturan pemerintah tinggal rumah covid 19 punah 8 6,"['yradianto', 'sigitawanda1']",0,2,9,['#indonesiahebat'],friendly happy life benefits of indonesian splendor great let's prevent covid 19 epidemic obey government rules living covid 19 homes extinct 8 6
8.2661E+17,kominfokabkdr,penyaluran bantuan beras warga terdampak pandemi covid 19 pemerintah kabupaten kediri bantuan didistribusikan 3 kecamatan kecamatan plemahan kecamatan gampengrejo,[],0,1,1,[],distribution of rice aid for people affected by the pvidemic covid 19 the district government kediri aid is distributed 3 sub-districts pl plateau sub-district gampengrejo
1.01232E+18,jojo8890475283,ambisi kota oke knockdown oke lihat grafik covid turun turun menteri herd immunity jahat pemerintah sadis komunis republik rakyat cina berperikemanusiaan lock down rakyat tertular seenak pusarnya herd immunity psbb gagal,['geloraco'],0,0,0,[],okay city ambition knockdown okay see chart covid down down minister herd immunity evil government sadist communist republic of china people inhumane lock down people contracting arbitrarily herd immunity psbb failed
1.24485E+18,salsabilameiza1,mari meningkatkan ibadah puasa ramadan ibadah khusuk rumah keluarga tercinta ikuti himbauan larangan pemerintah rangka menghadapi covid 19 semoga,[],0,0,0,[],let's increase the fasting ramadan worship solemnly beloved family home follow the appeal of the government's ban to deal with covid 19 hopefully
207559187,ibnupurna,psbb kota tegal berhasil satunya daerah jawa nol covid 19 pemerintah kota tegal penghargaan pemerintah pusat dijadikan daerah percontohan,[],0,2,0,[],psbb tegal city succeeded only in java region zero covid 19 tegal city government award the central government was made a pilot area
1.03326E+18,chhrygrl,mbak orang kayak orang gampang terpengaruh terpengaruh anjuran pemerintah kena covid menyebarkan lingkungan terdekat,"['tigasatupagi', 'meutia3994', 'shitlicious']",1,0,6,[],you are like people who are easily affected by the government's suggestion to co-spread the nearest environment
1.22386E+18,rudehellokitty,pemerintah nih kayak niat bikin kebijakan bend the curve covid 19,[],1,0,0,[],the government is like the intention of making a bend the curve covid policy 19
63358311,gprmswr,dititik bodoh berita covid kesal keputusan pemerintah kompak konsisten pfffff sejujurnya pesimis covid indonesia cepat redanya,[],0,0,2,[],stupid news point covid upset the compact government decision consistently pfffff honestly pessimistic covid indonesia quickly redeem
9.0963E+17,kominfo_tgalek,pakai trenggalek salurkan bantuan kaum dhuafa anak yatim guru pendidikan anak usia kecamatan gandusari kepedulian membantu pemerintah menangangi sosial ekonomi dampak covid 19 tim,[],0,0,0,[],use trenggalek channeling aid for orphans orphans education teachers at the age of the gandusari sub-district caring for helping the government overcome the socio-economic impacts of the covid 19 teams
1.25831E+18,jpalanro,nanangmas0384 persoalannya terkadang pernyataan pemerintah gaduh masyarakat bahasa pas dipemahaman mari mendoakan dukung pemerintah mengusir covid 19 indonesia,"['jokowi', 'nanangmas0384']",0,0,1,[],nanangmas0384 the problem is sometimes the government statement noisy community language fitting in the understanding let's pray for the government support expel covid 19 indonesia
1.03727E+18,thmelind,kemarin menonton mardigu vell mutus rantai covid 19 pemerintah landainya sembuh prestasi tertular harinya,['cavellprais'],1,0,0,[],yesterday watched mardigu vell mutus covid 19 chain the sloping government recovered his feat contracting the day
7.49264E+17,puji090887,ayo sadar menghormati kebijakan pemerintah membunuh covid 19 kesempatan ahli kesehatan menanganinya pemerintah berat sebelah memperhatikan aspek epolesosbudhankam,[],0,0,0,['#pemerintah'],let's consciously respect the government's policy of killing covid 19 the chance that health experts handle it the government is biased to pay attention to aspects of epolesosbudhankam
159510565,himmahonline,foto berita ngaret maret pemerintah dilangkahi warga tingkat rukun warga membatasi pergerakan covid 19 istilahnya lockdown warga mengarantina lingkungan menutup akses gang gang desa kampung otonomi coronavirus lockdown,[],0,3,5,"['#otonomi', '#coronavirus', '#lockdown']",photo news ngaret march government bypassed residents at a harmonious level residents restrict covid movement 19 the term lockdown residents quarantine the environment close access alleys village autonomy village coronavirus lockdown
1.22203E+18,moon___zlight,susah pemerintah upaya menekan angk covid warganya mematuhi psbb semoga cepat i miss my friends menagih kas,[],0,0,0,[],"the government has a hard time trying to suppress the covidity of its citizens to comply with the psbb, hope that soon i miss my friends collect cash"
68930552,mediaindonesia,menteri agama apresiasi vihara vihara umat buddha menyelenggarakan waisak sederhana mematuhi anjuran pemerintah mengutakaman protokol kesehatan pandemi covid 19,[],0,0,10,[],minister of religion appreciation of vihara buddhist monastery organizes simple vesak obeys government advice to condemn covid pandemic health protocol 19
1.2551E+18,dwickysiagian,mari meningkatkan ibadah puasa ramadan ibadah khusuk rumah keluarga tercinta ikuti himbauan larangan pemerintah rangka menghadapi covid 19 semoga lindungan allah subhanahu wa taala amin ayoberpuasa ayo,[],0,0,0,"['#ayoberpuasa', '#yukp']",let's increase fasting ramadan worship solemn house of beloved family follow the appeal of the government ban order to face covid 19 may the protection of allah subhanahu wa taala amin ayoberpuasa come on
565153320,polresdonggala,kepala kepolisian resor donggala undang tokoh agama imam mesjid bahas sosialisasi peraturan pemerintah covid 19 maklumat kepala kepolisian republik indonesia salat berjemaah donggala wabah pandemi covid 19,[],0,0,1,[],police chief resort donggala law religious leader imam mesjid discuss socialization government regulations covid 19 information police chief republik indonesia salat berjemaah donggala pandemic pandemic covid 19
23343960,kompascom,nakheel terpaksa menutup malnya pemerintah memberlakukan pembatasan dubai upaya mengekang penyebaran covid 19,[],0,0,11,[],nakheel had to cover the shame of the government imposing restrictions on dubai in an effort to curb the spread of covid 19
1.24536E+18,anthonraharusu4,ahli ekonomi logika sederhana lonjakan angka kemiskinan akibat covid 19 mk sgat beralasan kurun maret mei lonjakan angka kemiskinan upaya pemerintah,['jawapos'],0,0,1,[],simple logic economists spike in poverty due to covid 19 mk is very reasonable reason march march may spike poverty numbers government efforts
102584168,hestimanurung,maksud thread kasih perbedaan negara menangani covid malaysia memiliki pasien covid nya dibanding indonesia correct me if i salah tau pemerintah anw menteri kesehatan dimanemuncul hehe,[],1,0,0,[],mean thread love difference countries deal with covid malaysia has covid patients compared to indonesia correct me if i get the wrong idea the government and the health minister where he appears hehe
1.17552E+18,sugaall1,luhut anulir kebijakan anies jusuf kalla khawatir pemerintah pusat tangani covid 19,[],0,0,0,[],luhut annuran policies anies jusuf kalla worried the central government handled covid 19
1.24536E+18,faisholys,mari meningkatkan ibadah puasa ramadan ibadah khusuk rumah keluarga tercinta ikuti himbauan larangan pemerintah rangka menghadapi covid 19 semoga lindungan allah subhanahu wa taala amin ayoberpuasa,[],0,0,0,['#ayoberpuasa'],let's increase fasting ramadan worship solemnly beloved family home follow the appeal of the government ban order to face covid 19 may the protection of allah subhanahu wa taala amin ayoberpuasa
304124400,kotamagetan_,yayuk data penerima bst diverifikasi pemerintah pusat penerima bantuan akibat dampak pandemi covid 19,[],1,0,0,[],yayuk bst recipient's data was verified by the central government as beneficiary due to the impact of the covid pandemic 19
1366355490,ged0ng,null tangan perantara efektif tularkan covid 19 juru bicara pemerintah ujian nasional,['null'],0,0,0,[],null hands effective intermediaries transmit covid 19 spokesman for the national exam government
61420374,cakrahmat,sisi pemerintah pembaruan covid 19 bertambah sisi pemerintah bikin kbijakan penerapan anomali tau kah au bingung au putuskan hidup normal,[],2,2,5,[],government side covid renewal 19 increased government side makes policy anomaly implementation know if you're confused au decide normal life
8.12135E+17,hk_jorrs,infotoljorrs ikuti aturan pemerintah cepat pandemi covid 19 biarlah bertugas rumah stayathome tetapgunakanmasker sonorafm92 radioelshinta,"['sonorafm92', 'radioelshinta']",0,0,1,"['#infotoljorrs', '#stayathome', '#tetapgunakanmasker']",infotoljorrs follow government rules pandemic covid 19 quickly let it stay home stay stay home use masks sonorafm92 radioelshinta
304124400,kotamagetan_,saif muchlissun pasien 49 almarhum sup pasien pengawasan pdp meninggal perawatan rumah sakit rujukan pemerintah hasil tes positif covid 19,[],1,0,0,[],saif muchlissun patient 49 deceased sup pdp surveillance patient died hospital referral treatment government test results covid positive 19
1.2079E+18,fais18425226,penanda tanganan mou pendampingan penanganan covid 19 pemerintah kota blitar polisi resor blitar kota,[],0,0,1,[],signing of mou assistance handling covid 19 city government of blitar police city resort blitar
9.51255E+17,nizarfah,fase muak membaca mendengar all about fcking covid 19 ditambah carut marutnya pemerintah sinkron solusi terbaik menutup info masuk fokus planning the best berpikir mudik,[],1,2,3,[],sick of reading phase hear all about fcking covid 19 plus the chaotic chaos of the government synchronous the best solution closes incoming info focus on planning the best thinking back and forth
